174.32.174.21 - - [09/Sep/2013:20:11:18 -0400] "GET /login/index.php HTTP/1.1" 302 -
174.32.174.21 - - [09/Sep/2013:20:11:21 -0400] "GET /training/ HTTP/1.1" 200 53281
174.32.174.21 - - [09/Sep/2013:20:11:24 -0400] "GET /css/header.css HTTP/1.1" 200 3321
174.32.174.21 - - [09/Sep/2013:20:11:24 -0400] "GET /training/css/trainings.css HTTP/1.1" 200 460
174.32.174.21 - - [09/Sep/2013:20:11:24 -0400] "GET /css/directoryListing.css HTTP/1.1" 200 4693
174.32.174.21 - - [09/Sep/2013:20:11:24 -0400] "GET /css/default.css HTTP/1.1" 200 4223
174.32.174.21 - - [09/Sep/2013:20:11:24 -0400] "GET /redactor/css/redactor.css HTTP/1.1" 200 14498
174.32.174.21 - - [09/Sep/2013:20:11:24 -0400] "GET /css/custom-theme/jquery-ui-1.8.21.custom.css HTTP/1.1" 200 33360
174.32.174.21 - - [09/Sep/2013:20:11:28 -0400] "GET /training/js/editContent.js HTTP/1.1" 200 1192
174.32.174.21 - - [09/Sep/2013:20:11:28 -0400] "GET /js/layoutFunctions.js HTTP/1.1" 200 753
174.32.174.21 - - [09/Sep/2013:20:11:29 -0400] "GET /js/pageNavigation.js HTTP/1.1" 200 7239
174.32.174.21 - - [09/Sep/2013:20:11:29 -0400] "GET /js/jquery.form.js HTTP/1.1" 200 37332
174.32.174.21 - - [09/Sep/2013:20:11:29 -0400] "GET /js/jquery.ui.selectmenu.js HTTP/1.1" 200 26487
174.32.174.21 - - [09/Sep/2013:20:11:28 -0400] "GET /js/jquery-ui-1.8.21.custom.min.js HTTP/1.1" 200 206923
174.32.174.21 - - [09/Sep/2013:20:11:30 -0400] "GET /training/js/viewReport_approveTraining.js HTTP/1.1" 200 22916
174.32.174.21 - - [09/Sep/2013:20:11:31 -0400] "GET /training/js/addTraining.js HTTP/1.1" 200 1603
174.32.174.21 - - [09/Sep/2013:20:11:31 -0400] "GET /redactor/redactor.js HTTP/1.1" 200 79648
174.32.174.21 - - [09/Sep/2013:20:11:34 -0400] "GET /img/logoMountainsWhite.png HTTP/1.1" 200 1923
